Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
Phoca;Emre ŞENGÜL (CEO);info@phoca.io;phoca.io/;Bornova, Izmir;01-oct;;;;Non;125 000 $;Intelligence artificielle / Machine Learning, Web3 / Blockchain / Tokenisation;Solution non précisée (probablement IA/Web3 infrastructure ou plateforme).;;B2B;Entreprise;;Start-up;125 000 $;2022;Turquie;;;Actif;Data & analytics, Web3 / Blockchain / Tokenisation;;Jeune entreprise;Faible;;https://www.linkedin.com/company/phocaio/;;
Picksea;Hervé Le Saux (Dirigeant);contact@picksea.com;https://www.picksea.com/fr/;29 (Finistère);01-oct;;;;Non;;;Vente en ligne d'équipements pour la mer et les sports nautiques;Sports nautiques, Voile;B2C;Sportif amateur;Picksea est une boutique en ligne spécialisée dans l'équipement technique et la sécurité pour les activités en mer, y compris la voile, le kayak et la pêche sportive.;Autre (E-commerce);;2013;France;Fourniture d'équipements techniques (vêtements, sécurité, électronique) pour les marins et plaisanciers.;;Actif;Retail & merchandising;Site e-commerce, sélection d'experts;Établi;National;Vaste sélection de produits pour la mer, conseils de spécialistes, services de personnalisation.;https://www.linkedin.com/company/picksea/;Vente de produits (E-commerce);
Pims;;contact@pims.io;https://pims.io/;;01-oct;;;;;;Gestion / Management;Plateforme SaaS pour la gestion de clubs de sport (tennis, padel);Tennis, Padel;B2B;Club amateur / Association;Pims est un logiciel de gestion pour les clubs de sport, permettant la réservation de terrains, la gestion des membres, des cours et des tournois.;Start-up;;2023;France;Gestion intégrale des clubs de sport (réservations, adhésions, communication).;Clubs de tennis et de padel;Actif;Gestion / Management;Solution SaaS (application et web);Jeune entreprise;National;Outil tout-en-un simple et intuitif, spécialisation sur les sports de raquette.;https://www.linkedin.com/company/pims-io/;Abonnement (SaaS);
PLACR;Stéphane Allouis (Fondateur);contact@placr.io;https://www.placr.io/;75 (Paris);01-oct;;;;Non;;Data / Analytics, Intelligence artificielle / Machine Learning;Solution d'analyse de données d'audience dans les stades et salles de sport;Multisport;B2B;Club professionnel, Organisateur événement / compétition, Média;PLACR utilise l'IA pour analyser les mouvements et l'engagement des fans dans les enceintes sportives, offrant des données d'audience et de performance aux ayants droit, sponsors et diffuseurs.;Start-up;;2020;France;Mesure de l'exposition des sponsors et de l'engagement des fans en temps réel dans les stades.;Clubs professionnels, Sponsors;Actif;Data & analytics, Fan Experience / Fan engagement, Partenariat / Sponsoring;Vision par ordinateur (IA), Flux vidéo existants;Développement;International;Analyse sans capteur, données précises sur l'audience et la visibilité des marques (sponsoring).;https://www.linkedin.com/company/placr-io/;Abonnement (SaaS) ou Forfait;
Planet Nautic;Nicolas Gauthier (Dirigeant);contact@planetnautic.com;https://planetnautic.com/;44 (Loire-Atlantique);01-oct;;;;Non;;;Vente en ligne d'équipements et accessoires pour le nautisme;Nautisme, Plaisance;B2C;Sportif amateur;Planet Nautic est une boutique en ligne proposant une large gamme d'accastillage, d'accessoires de sécurité et de produits d'entretien pour bateaux de plaisance et sports nautiques.;Autre (E-commerce);;2013;France;Fourniture d'équipements marins pour la sécurité et la maintenance des bateaux.;;Actif;Retail & merchandising;Site e-commerce;Établi;National;Large choix d'accastillage et d'équipements marins, prix compétitifs, expertise technique.;https://www.linkedin.com/company/planet-nautic/;Vente de produits (E-commerce);
Planet Ride;;contact@planet-ride.com;https://www.planet-ride.com/;75 (Paris);01-oct;;;;Non;;;Plateforme de réservation de voyages et de road trips sportifs/aventure;Motocyclisme, 4x4, Aventure;B2C;Sportif amateur;Planet Ride est une plateforme qui met en relation les voyageurs avec des agences locales spécialisées dans l'organisation de road trips et de voyages d'aventure (moto, 4x4, vélo) à travers le monde.;Agence de voyage (Marketplace);;2015;France;Organisation et réservation de circuits d'aventure motorisés ou non (motos, 4x4, vélos).;Voyageurs, Particuliers;Actif;Marketplace;Plateforme web, réseau d'agences locales;Établi;International;Spécialisation dans les voyages d'aventure et les road trips, offre diversifiée, garantie des départs.;https://www.linkedin.com/company/planet-ride/;Commission sur les ventes de voyages;
Planetary Processing;;;planetaryprocessing.io/;London, England;01-oct;;;;Non;1 020 000 £;Innovation technologique, Gaming / Fantasy / Esport;SDK (Software Development Kit) pour la création et l'exploitation de jeux massivement multijoueurs en ligne (MMO).;N/A (Infrastructure Gaming);B2B;Entreprise;Planetary Processing fournit un SDK pour la création et l'exploitation de jeux massivement multijoueurs en ligne. Simplifier la création et la maintenance de grands jeux en ligne permet aux studios de jeux de se concentrer sur le développement du jeu plutôt que sur l'infrastructure.;Start-up;1 020 000 £;2022;Royaume-Uni;Fournir l'infrastructure technique et logicielle pour les studios développant des MMO.;Studios de jeux vidéo, éditeurs;Actif;Gaming / Fantasy / Esport;SDK multiplateforme, infrastructure cloud;Jeune entreprise;Faible;Simplifier la création et la gestion de l'infrastructure des jeux MMO en ligne.;https://www.linkedin.com/company/planetaryprocessing/;Licence logicielle (B2B);
Play AI;Jack E. (CEO);;playai.network/;Londres, Angleterre;01-oct;;;;Non;5 100 000 $;Intelligence artificielle / Machine Learning, Web3 / Blockchain / Tokenisation;Chaîne modulaire (blockchain) dédiée à l'IA pour le jeu vidéo.;Esport, Jeux;B2B, B2C;Entreprise, Média, Fan / Supporter;Play AI fonctionne comme une chaîne modulaire (blockchain) pour l'IA dans le jeu vidéo. Elle vise à fournir une infrastructure permettant aux développeurs d'intégrer facilement des fonctionnalités d'IA avancées et décentralisées dans leurs jeux.;Start-up;5 100 000 $;2023;Royaume-Uni;Infrastructure AI/Web3 pour le développement de jeux vidéo.;Développeurs de jeux, Studios, Utilisateurs finaux;Actif;Gaming / Fantasy / Esport, Intelligence artificielle / Machine Learning;Protocole blockchain, outils d'IA pour les jeux;Jeune entreprise;Faible;L'infrastructure décentralisée pour l'intelligence artificielle dans le domaine du jeu.;https://www.linkedin.com/company/playai-network/;Vente de tokens, Frais de transaction sur la chaîne;
Playce;Thierry Cayla;contact@playce.io;https://playce.io;Rhône (69);11–50;<1 M€;10 001–100 000;SportTech;Oui;500 000 € ;Intelligence artificielle / Machine Learning, Fan Engagement, SaaS;Plateforme d'activation digitale (SaaS);Football, Basket, Rugby, Sports d'équipe;B2B;Clubs professionnels, Ligues, Diffuseurs, Marques;Plateforme d'activation digitale qui utilise l'IA pour créer des expériences de fans interactives et gamifiées, augmentant l'engagement et la monétisation.;Start-up;500 000 € (2022 - Pré-seed);2020;France;Création de jeux/sondages en direct, gestion de communautés de fans, monétisation du fan engagement pour les clubs et sponsors.;Clubs de Football/Basket, Diffuseurs Sportifs (B2B);Actif;Fan Experience / Fan engagement, Gaming / Fantasy / Esport, Partenariat / Sponsoring;Plateforme web (SaaS), Widgets intégrables (site web, app), API;Phase de commercialisation;National/International;Monétiser et engager la fan base grâce à des activations digitales ludiques et une forte personnalisation par l'IA.;https://www.linkedin.com/company/playce.io;Abonnement (SaaS B2B), Services personnalisés, Partage de revenus (Monétisation);
Playful Vision;Julien Piquemal;contact@playfulvision.ai;https://playfulvision.ai;Haute-Garonne (31);2–10;<1 M€;0–100;SportTech;Oui;1 000 000 € ;Intelligence artificielle / Machine Learning, Computer Vision, Analyse Vidéo;Logiciel d'analyse vidéo (SaaS);Football, Rugby, Tennis;B2B;Clubs professionnels, Diffuseurs, Ligues;Solution d'analyse vidéo automatisée basée sur la **Computer Vision** et l'IA pour générer des statistiques avancées, des résumés de matchs et du contenu média.;Start-up;1 M€ (2023 - Seed);2021;France;Analyse tactique et statistique des joueurs et des équipes, production de clips vidéo automatiques, enrichissement de la diffusion TV.;Clubs professionnels (Ligue 1), Diffuseurs TV;Actif;Data & analytics, Médias / Streaming / OTT, Athletes & performance;Plateforme SaaS, Flux vidéo (Caméras standard ou broadcast);Phase de commercialisation;International;Automatiser l'analyse tactique et la création de contenu vidéo, de la performance à la diffusion, grâce à la vision par ordinateur.;https://www.linkedin.com/company/playfulvision-ai;Abonnement (SaaS B2B), Licences logicielles;
PLAYMOOVIN';Clément Chauvet (Dirigeant);contact@playmoovin.com;https://www.playmoovin.com/;69 (Rhône);01-oct;;;;Non;;Data / Analytics;Plateforme d'analyse et de recommandation de centres sportifs;Multisport;B2B;Collectivité, Entreprise;PLAYMOOVIN' est une plateforme qui aide les collectivités et les entreprises à analyser et développer leur offre sportive, en mesurant l'attractivité et l'impact de leurs équipements (terrains, gymnases, etc.).;Start-up;;2021;France;Analyse de l'usage et de l'attractivité des équipements sportifs pour optimiser l'offre territoriale.;Collectivités locales, Villes;Actif;Gestion / Management, Data & analytics;Logiciel SaaS, intégration de données géographiques et d'usage;Jeune entreprise;National;Outil de pilotage stratégique pour les élus et services sportifs, optimisation des investissements en équipements.;https://www.linkedin.com/company/playmoovin/;Abonnement (SaaS);
PlaySport;Anthony Dalmasso;contact@playsport.fr;https://playsport.fr;Paris (75);2–10;<1 M€;2 501–10 000;SportTech;Oui;200 000 € ;Application mobile, Organisation d'événements;Application de gestion de tournois (SaaS);Multisports (Foot, Basket, Pétanque, etc.);B2B2C;Clubs amateurs, Collectivités, Organisateurs de tournois;Application pour simplifier l'organisation, la gestion, et la promotion des tournois et événements sportifs locaux (inscriptions, résultats, communication).;Start-up;200 000 € (2023 - Pré-seed);2020;France;Gestion des inscriptions/paiements, création de plannings de matchs automatiques, suivi des résultats en direct, communication des participants.;Clubs sportifs amateurs, Mairies, Organismes d'événementiel;Actif;Gestion / Management, Billetterie / Ticketing / Hospitality, Fan Experience / Fan engagement;Application mobile (iOS, Android), Plateforme web (SaaS);Établi;National;L'outil essentiel pour organiser un tournoi sportif local de A à Z, en digitalisant l'ensemble du processus.;https://www.linkedin.com/company/playsport-fr;Abonnement (SaaS B2B - Organisateurs), Commission sur les inscriptions (Ticketing);
PledgSport;Maxime de Simone;contact@pledg.sport;https://pledg.sport;Paris (75);2–10;<1 M€;0–100;SportTech;Oui;1 200 000 € ;Fintech, Paiement fractionné, SaaS;Solution de paiement (SaaS/Fintech);Multisports (Clubs, Salles de sport);B2B;Clubs, Fédérations, Salles de sport, Événements;Solution de paiement fractionné et différé **adaptée au monde du sport** (licences, abonnements, billetterie) pour faciliter l'accès à la pratique.;Start-up;1,2 M€ (2023 - Seed);2022;France;Faciliter l'adhésion au club (paiement en plusieurs fois), augmenter le taux de renouvellement des licences, sécuriser les revenus des clubs.;Fédérations sportives, Clubs amateurs, Salles de Fitness;Actif;Gestion / Management, Billetterie / Ticketing / Hospitality;API d'intégration (e-commerce, plateformes de gestion de club), Solution web (SaaS);Phase de commercialisation;National;Permettre aux clubs d'offrir la flexibilité de paiement et de réduire les freins financiers à la pratique sportive.;https://www.linkedin.com/company/pledgsport;Commission sur les transactions (Fintech B2B);
PREPPYSPORT;;contact@preppysport.com;https://preppysport.com/;78 (Yvelines);01-oct;;;;Non;;;Vente en ligne d'équipements sportifs pour les clubs;Multisport;B2B, B2B2C;Club amateur / Association, Entreprise, Fédération;PREPPYSPORT est un spécialiste de la vente d'équipements sportifs personnalisés (maillots, survêtements, ballons) pour les clubs, les entreprises et les associations.;Autre (E-commerce);;2013;France;Fourniture d'équipements sportifs personnalisés (textile, matériel).;Clubs sportifs amateurs;Actif;Retail & merchandising;Plateforme e-commerce, service de personnalisation;Établi;National;Spécialisation dans l'équipement de clubs, service de personnalisation, catalogue de marques large.;https://www.linkedin.com/company/preppysport/;Vente de produits (E-commerce);
PRIVATESPORTSHOP;Guillaume Le Tarnec, Randal Lugardon, Yannick Le Reste (Co-fondateurs);serviceclient@privatesportshop.com;https://www.privatesportshop.fr/;34 (Hérault);101-250;;;;Non;15 M€;;Site de ventes privées d'articles de sport;Multisport;B2C;Fan / Supporter, Sportif amateur;PRIVATESPORTSHOP est le premier site de ventes privées dédié au sport, proposant des prix réduits sur une large gamme d'articles de sport et de loisirs.;Autre (E-commerce/Vente privée);7 M€ (2016);2011;France;Vente flash et déstockage de grandes marques d'articles de sport via des ventes privées.;;Actif;Retail & merchandising;Site et application mobile de ventes privées;Très établi;International;Modèle de ventes privées (accès sur inscription), prix réduits, large éventail de marques et de sports.;https://www.linkedin.com/company/private-sport-shop/;Vente de produits (E-commerce);
